RemakeVoiceCharacterId,OldVoiceCharacterId
001,001
002,002
003,003
004,004
005,005
006,006
007,007
008,008
009,016
010,054
011,015
012,014
013,013
014,061
015,001
016,002
101,035
102,027
103,028
104,034
105,038
106,036
107,037
108,060
109,009
110,029
111,030
112,050
113,039
114,040
115,041
116,043
117,042
118,049
119,048
120,045
121,046
122,047
123,053
124,051
125,052
126,058
127,055
128,056
129,057
130,062
131,059
132,033
133,012
134,032
135,031
136,063
137,065
138,064
139,066
140,010
141,011
201,085
202,086
203,116
204,115
205,117
206,089
207,090
208,091
209,125
210,104
211,105
212,099
213,126
214,127
215,128
216,132
217,129
218,130
219,131
220,133
221,144
222,143
223,153
224,154
225,155
226,156
227,157
228,158
229,159
230,160
231,161
232,165
233,162
234,163
235,164
237,001
238,195
239,200
240,196
241,270
242,220
243,221
244,271
245,272
246,273
247,216
248,217
249,230
250,234
251,268
252,231
253,236
254,237
261,262
262,263
263,262
264,258
265,419
266,244
267,242
268,242
269,269
270,269
271,088
313,094
327,084
333,083
